"project","filename","geometry"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x50y282_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.00000000 25.40685988, -80.90057165 25.40682626, -80.90049744 25.49713153, -81.00000000 25.49716528, -81.00000000 25.40685988))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x50y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.00000000 25.49716528, -80.90049744 25.49713153, -80.90042288 25.58743568, -81.00000000 25.58746957, -81.00000000 25.49716528))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x50y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.00000000 25.58746957, -80.90042288 25.58743568, -80.90034796 25.67773871, -81.00000000 25.67777274, -81.00000000 25.58746957))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x50y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.00000000 25.67777274, -80.90034796 25.67773871, -80.90027267 25.76804063, -81.00000000 25.76807480, -81.00000000 25.67777274))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y279_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90079214 25.13590383, -80.80158462 25.13580420, -80.80143834 25.22611237, -80.90071899 25.22621241, -80.90079214 25.13590383))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y280_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90071899 25.22621241, -80.80143834 25.22611237, -80.80129135 25.31641944, -80.90064550 25.31651989, -80.90071899 25.22621241))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y281_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90064550 25.31651989, -80.80129135 25.31641944, -80.80114365 25.40672541, -80.90057165 25.40682626, -80.90064550 25.31651989))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y282_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90057165 25.40682626, -80.80114365 25.40672541, -80.80099524 25.49703026, -80.90049744 25.49713153, -80.90057165 25.40682626))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90049744 25.49713153, -80.80099524 25.49703026, -80.80084611 25.58733401, -80.90042288 25.58743568, -80.90049744 25.49713153))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x51y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.90042288 25.58743568, -80.80084611 25.58733401, -80.80069627 25.67763663, -80.90034796 25.67773871, -80.90042288 25.58743568))"
